"home","away","home win","draw","away win","mlo"
"Switzerland","Germany",0.283,0.261,0.455,"0-1 (0.116)"
"Scotland","Hungary",0.262,0.288,0.45,"0-1 (0.14)"
"Albania","Spain",0.058,0.17,0.772,"0-2 (0.171)"
"Croatia","Italy",0.308,0.278,0.414,"0-1 (0.12)"
"France","Poland",0.714,0.189,0.097,"2-0 (0.138)"
"Netherlands","Austria",0.482,0.25,0.267,"1-0 (0.108)"
"Denmark","Serbia",0.442,0.289,0.269,"1-0 (0.143)"
"England","Slovenia",0.735,0.19,0.076,"1-0 (0.167)"
"Slovakia","Romania",0.319,0.312,0.369,"0-0 (0.161)"
"Ukraine","Belgium",0.135,0.218,0.647,"0-1 (0.128)"
"Georgia","Portugal",0.06,0.13,0.81,"0-3 (0.105)"
"Czech Republic","Turkey",0.401,0.263,0.336,"1-1 (0.109)"
